Time (s),Average Velocity (cm/s)
2.28,43.859649122807
2.29,43.6681222707424
1.45,68.9655172413793
1.48,67.5675675675676
1.52,65.7894736842105
1.38,72.463768115942
1.46,68.4931506849315
1.35,74.0740740740741
1.35,74.0740740740741
1.42,70.4225352112676
1.24,80.6451612903226
1.24,80.6451612903226
1.29,77.5193798449612
1.28,78.125
1.2,83.3333333333333
1.37,72.992700729927
1.3,76.9230769230769
1.21,82.6446280991736
1.3,76.9230769230769
1.17,85.4700854700855

